root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um,relative_caliber
720575941547317940,descending_neuron,DNge032,DNge032,right,isomorphic,3,0.2628012385965407,0.5784539129321336,1.227269514035285
720575941547426484,ascending_neuron,ANXXX985,auto:AN09B033,left,female-specific,3,0.1243256920814908,0.3978647855549939,1.064734851409465
720575941547473268,descending_neuron,DNg12_a,auto:DNg12_g,left,isomorphic,3,0.07252154414682487,0.3038705281085915,0.6447031077568841
720575941547659964,descending_neuron,DNge096,auto:DNge098,right,isomorphic,3,0.07561256096173478,0.3102787499897132,0.6582990316119228
720575941547675497,ascending_neuron,ANXXX170,ANXXX170,right,isomorphic,3,0.1253131982036718,0.3994417597474634,1.0689550273171
720575941547718461,descending_neuron,DNg18_b,DNg18_b,left,isomorphic,3,0.08700253196803351,0.3328288812494875,0.7061422357357093
720575941547763060,descending_neuron,DNge061,DNge061,left,isomorphic,3,0.07910834881101537,0.3173702538438152,0.6733446321243084
720575941547837501,sensory_ascending,SApp22,auto:SApp09,left,isomorphic,3,0.4446373608131228,0.752416022459613,2.120920399905264
720575941547987124,ascending_neuron,AN06B025,AN06B025,right,isomorphic,3,0.6055936437365452,0.8781035105530709,2.349912444567483
720575941548066184,descending_neuron,DNge073,DNge073,left,isomorphic,3,0.3745982907160119,0.6906180978875555,1.465241255058938
720575941548144673,sensory_ascending,SApp07,auto:SApp06,left,isomorphic,3,0.2631569207911608,0.5788452280377242,1.631656711030395
720575941548170120,descending_neuron,DNde007,DNde007,right,dimorphic,3,0.1758682046296286,0.4732043457070303,1.003968085290466
720575941548184200,sensory_ascending,SApp01,auto:SApp06,right,isomorphic,3,0.1539137357380609,0.4426839220252039,1.247843391032682
720575941548187681,ascending_neuron,AN08B112,auto:AN08B111,left,dimorphic,3,0.04749587021361486,0.2459138470431939,0.6580955462691322
720575941548225928,ascending_neuron,AN09B026,AN09B026,left,dimorphic,12,0.1281787951683656,0.4037862687830532,1.080581465118081
720575941548238004,descending_neuron,DNge036,DNge036,left,isomorphic,3,0.4797252042243997,0.7815402104976158,1.658145018804594
720575941548246920,ascending_neuron,AN27X015,AN27X015,right,isomorphic,3,0.6602955060110552,0.9169047657549774,2.453749351456022
720575941548276404,ascending_neuron,AN07B011,AN07B011,right,isomorphic,3,0.06588287274257823,0.2896285187901995,0.7750813570692389
720575941548340104,ascending_neuron,AN01A033,AN01A033,right,isomorphic,12,0.06861962085997866,0.29548237332266,0.7907469881129555
720575941548351549,ascending_neuron,AN04B003,AN04B003,left,isomorphic,3,0.2814825056009731,0.5986607196754233,1.602089341782649
720575941548378804,descending_neuron,DNpe005,DNpe005,right,isomorphic,3,0.2438336769581032,0.5571881906871646,1.182151360243396
720575941548409377,descending_neuron,DNpe018,DNpe018,right,isomorphic,3,0.05850292498599716,0.2729253333328484,0.5790486220578492
720575941548506657,sensory_ascending,SApp21,auto:SApp10,right,isomorphic,3,0.04371930779936834,0.2359346340802982,0.6650557185495711
720575941548667060,ascending_neuron,ANXXX404,ANXXX404,left,isomorphic,3,0.1044080067279953,0.3646044472480534,0.9757261161536676
720575941548791732,ascending_neuron,AN05B024,,right,isomorphic,3,0.1472342267919573,0.4329716386670442,1.158685086235025
720575941548829473,ascending_neuron,AN19B063,auto:AN19B065,left,isomorphic,3,0.06341244998356489,0.2841465096523542,0.7604108298028788
720575941548843581,sensory_ascending,SApp05,auto:SApp09,right,isomorphic,3,0.1450200857789267,0.4297037444503071,1.21125469197362
720575941548867252,ascending_neuron,AN27X017,AN27X017,left,isomorphic,3,0.5257774503780431,0.8181935232885642,2.189585987680787
720575941548952609,ascending_neuron,AN07B069,auto:AN07B078_b,left,isomorphic,3,0.05175566949484286,0.256704820883982,0.6869735127192362
720575941549011060,sensory_ascending,SAch02,auto:LgAG1,right,isomorphic,3,0.04545045412698399,0.2405604196883758,0.6780949452126193
720575941549022497,descending_neuron,DNpe054,auto:DNp17,left,isomorphic,3,0.08971461323335075,0.3379766165126261,0.7170638639130533
720575941549063167,ascending_neuron,AN12B089,auto:AN12B080,right,dimorphic,3,0.03383764723124091,0.2075654849815215,0.5554706368427427
720575941549144968,descending_neuron,DNp69,DNp69,left,isomorphic,3,0.4708687520602264,0.7742923966455934,1.642767785138904
720575941549156980,descending_neuron,DNg02_b,DNg02_b,right,isomorphic,3,0.08588919589646382,0.330692486580634,0.701609580690226
720575941549247368,descending_neuron,DNge092,auto:DNge116,right,isomorphic,3,0.0722522684523807,0.3033058611210669,0.6435050891008113
720575941549273992,descending_neuron,DNp47,DNp47,right,dimorphic,3,0.3845016728835923,0.6996875980980465,1.484483446817054
720575941549490209,descending_neuron,DNg02_a,DNg02_a,right,dimorphic,3,0.101676566454082,0.3598035925087878,0.763372794710816
720575941549506932,descending_neuron,DNb03,DNb03,right,isomorphic,3,0.14100676045635,0.423716159106569,0.8989720927631213
720575941549510974,ascending_neuron,AN16B078,auto:AN16B078_a,left,isomorphic,3,0.08175198417277042,0.3226296004853467,0.8633962899075898
720575941549579553,sensory_ascending,SApp08,SApp08,right,isomorphic,3,0.03446413680555765,0.2094781655829518,0.5904798694574092
720575941549927229,ascending_neuron,ANXXX043,auto:ANXXX027,left,isomorphic,3,0.2638913818788262,0.5796524328620812,1.551220840295339
720575941549936957,ascending_neuron,AN06A017,AN06A017,right,isomorphic,3,0.1584956347201753,0.4492247875992894,1.202180501616334
720575941549950207,ascending_neuron,AN08B101,AN08B101,left,dimorphic,3,0.06889006474075596,0.2961647424446333,0.7925730913823794
720575941550148724,descending_neuron,DNg31,DNg31,left,isomorphic,3,0.3792943370522454,0.6949334853272119,1.474396942880454
720575941550165054,descending_neuron,DNg10,DNg10,right,isomorphic,3,0.08781656595237979,0.334382302841244,0.709438033238994
720575941550196797,descending_neuron,DNbe007,DNbe007,right,isomorphic,3,0.3024654623328797,0.6205731121784333,1.316631186650725
720575941550391668,sensory_ascending,SApp07,auto:SApp01,left,isomorphic,3,0.1048403453492388,0.3653585548229876,1.029877606368455
720575941550401086,descending_neuron,DNge001,DNge001,right,isomorphic,3,0.1564001292488411,0.4462452569622618,0.9467706716280437
720575941550561341,descending_neuron,DNpe052,DNpe052,right,dimorphic,3,0.1319888728227313,0.4099432306343424,0.8697509312236101
720575941550597236,sensory_ascending,SApp09,SApp09,right,isomorphic,3,0.2212190765848977,0.5307210909297728,1.496003746349448
720575941550649599,ascending_neuron,AN06B037,AN06B037,right,isomorphic,3,0.3738344601117972,0.6899136306807252,1.846293297919102
720575941550675079,sensory_ascending,SApp08,SApp08,right,dimorphic,3,0.09003449821142336,0.338578622351104,0.9543899726760826
720575941550685063,ascending_neuron,AN07B082,auto:AN07B082_c,left,isomorphic,3,0.04910371210718238,0.250041572639742,0.669141845060238
720575941550687037,ascending_neuron,AN06B007,AN06B007,left,isomorphic,3,0.7198522337971661,0.9573632176120481,2.562021119378898
720575941550687805,descending_neuron,DNge050,DNge050,right,isomorphic,3,1.619136511600613,1.435809400615013,3.046267068033164
720575941550700605,ascending_neuron,AN05B999,auto:AN08B016,left,female-specific,12,0.06487797048660454,0.287333166683593,0.7689387139580851
720575941550794751,descending_neuron,DNg36_a,DNg36_a,right,isomorphic,3,0.07763861965812141,0.3144082707998836,0.6670603778222148
720575941550801441,ascending_neuron,AN12B011,AN12B011,right,isomorphic,3,0.09701216213985439,0.351453725484198,0.9405331755076793
720575941550909951,ascending_neuron,ANXXX072,ANXXX072,right,isomorphic,3,0.1554793386838612,0.4449297050114362,1.19068633503763
720575941550933821,descending_neuron,DNge018,DNge018,right,isomorphic,3,0.2205835352833954,0.5299581870679073,1.124379163423792
720575941550999175,ascending_neuron,AN19B076,auto:AN19B061,right,isomorphic,3,0.08525173578794037,0.3268417004789032,0.8746683849096774
720575941550999357,descending_neuron,DNbe001,DNbe001,left,isomorphic,3,2.510734262461318,1.787950264768912,3.793382330909473
