root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um
720575941666666483,ascending_neuron,AN05B106,AN05B106,right,isomorphic,3,0.17811762242408216,0.4762209576284395
720575941666925745,descending_neuron,DNg12_d,auto:DNg12_g,right,isomorphic,3,0.06135869396644794,0.27950727284166393
720575941667034355,ascending_neuron,AN05B069,AN05B069,left,isomorphic,3,0.05044077976190536,0.253422957642229
720575941667205553,ascending_neuron,AN08B015,AN08B015,left,isomorphic,3,0.0673313600342067,0.29279506518442666
720575941667252211,ascending_neuron,ANXXX151,ANXXX151,left,dimorphic,3,0.16079696560546236,0.4524743697518065
720575941667254515,sensory_ascending,SApp11,SApp11,right,isomorphic,3,0.16232359864272022,0.45461722892520295
720575941667326707,ascending_neuron,AN10B046,auto:AN10B061,left,dimorphic,3,0.029588742873178323,0.194096773556727
720575941668397735,ascending_neuron,AN10B060,auto:AN10B045,left,isomorphic,3,0.021379157142856885,0.16498723680149505
720575941668463347,ascending_neuron,AN05B102,auto:AN05B102c,left,dimorphic,3,0.21219276889621377,0.5197809389209158
720575941668465319,descending_neuron,DNge111,DNge111,right,isomorphic,3,0.07006536023553224,0.2986804100840801
720575941668481779,ascending_neuron,ANXXX074,ANXXX074,right,isomorphic,3,0.04598586820512811,0.24197319251881708
720575941668520881,sensory_ascending,SAch01,auto:LgAG1,right,isomorphic,3,0.03952366474359244,0.22432809209815172
720575941668521137,sensory_ascending,SAch01,auto:LgAG1,right,isomorphic,3,0.037159506172839564,0.21751540801076533
720575941668526067,ascending_neuron,AN08B009,AN08B009,left,isomorphic,3,0.06605505826118573,0.2900067452800482
720575941668649971,ascending_neuron,AN10B046,auto:AN10B035,right,isomorphic,3,0.016806809947184104,0.14628429528012601
720575941668758449,ascending_neuron,AN11B012,AN11B012,left,isomorphic,3,0.18949134119962815,0.49119025743623007
720575941668827825,sensory_ascending,SApp23,SApp23,left,isomorphic,3,0.03334581700943629,0.20605148111070862
720575941668844209,ascending_neuron,AN07B013,AN07B013,right,isomorphic,3,0.12622819584877784,0.40089740659580086
720575941668914609,descending_neuron,DNge145,DNge145,right,isomorphic,3,0.14032440539516094,0.4226896994729906
720575941668926129,sensory_ascending,SApp22,auto:SApp09,left,isomorphic,3,0.6175527517529766,0.8867314049315649
720575941669058035,sensory_ascending,SApp03,auto:SApp08,left,isomorphic,3,0.04454321443850353,0.23814739568746277
720575941669324019,descending_neuron,DNg42,DNg42,left,isomorphic,3,0.16598861261950154,0.45972085613214836
720575941669329139,ascending_neuron,ANXXX462a,ANXXX462a,right,isomorphic,3,0.14711867857142638,0.4328017090150196
720575941669490163,ascending_neuron,ANXXX988,,right,female-specific,3,0.045529322971213065,0.24076904795252962
720575941669591217,sensory_ascending,SAch01,auto:LgAG1,right,dimorphic,3,0.04617347870756887,0.24246628427157396
720575941669726129,descending_neuron,DNg85,DNg85,left,isomorphic,3,0.25217209764362325,0.5666352325779591
720575941669801905,descending_neuron,DNg54,auto:DNge055,right,isomorphic,3,0.30434511245258133,0.622498379452908
720575941669856945,ascending_neuron,AN03B009,AN03B009,left,isomorphic,12,0.15020595485140276,0.43684143659014013
720575941669864113,ascending_neuron,AN10B039,AN10B039,left,dimorphic,3,0.02601917913469338,0.18201276822201143
720575941670138033,ascending_neuron,ANXXX977,auto:AN09B033,right,female-specific,12,0.19081326756253286,0.49285512953610755
720575941670819495,ascending_neuron,AN07B032,AN07B032,right,isomorphic,3,0.033871509157643566,0.2076693162202134
720575941671012263,ascending_neuron,AN08B026,AN08B026,right,isomorphic,3,0.20507800503879384,0.5109925887630752
720575941671272881,ascending_neuron,AN08B016,AN08B016,right,isomorphic,3,0.07812270440996834,0.31538693155618824
720575941671438247,descending_neuron,DNpe036,DNpe036,left,dimorphic,3,0.20437643114095333,0.5101177845757828
720575941671479207,ascending_neuron,AN07B025,AN07B025,right,isomorphic,3,0.0755259625473173,0.31010101929763345
720575941671493041,ascending_neuron,AN_GNG_167,,left,isomorphic,3,0.03058336607744136,0.19733208330352736
720575941671947687,descending_neuron,DNge116,DNge116,left,dimorphic,3,0.03891256875901721,0.22258710953513636
720575941672002727,ascending_neuron,AN06B039,AN06B039,left,isomorphic,3,0.17373070541337715,0.4703198956742602
720575941672613799,descending_neuron,DNp45,DNp45,right,isomorphic,3,0.24329306774376408,0.5565701706086047
720575941678584253,sensory_ascending,SApp16,auto:SApp06,right,isomorphic,3,0.11631364361837766,0.38483130154283335
