type,n,d_med,area,sumd,pop
AN08B061,7,0.2938989124083882,0.5048636608034999,2.10734687676805,5-8
AN08B066,2,0.7145231256322286,0.875122968584462,1.4290462512644573,1-2
AN08B069,2,0.9360427844571549,1.4398808392799158,1.8720855689143099,1-2
AN08B074,6,0.4177098132989714,0.8459586233161331,2.531321200784235,5-8
AN08B079_a,7,0.3086776863249499,0.8879800753027932,2.5604092056211454,5-8
AN08B079_b,8,0.3492900521429213,0.7996870451166562,2.8296239728240735,5-8
AN08B081,4,0.4976112394476916,0.9504489788497051,2.154494392146112,3-4
AN08B084,4,0.49531469295919656,0.8580690814134888,2.073909276520104,3-4
AN08B086,2,0.6284505088620131,0.6245746883352503,1.2569010177240263,1-2
AN08B089,2,0.3723314693804151,0.21779810909220904,0.7446629387608302,1-2
AN08B094,3,0.3819302874347547,0.31907082061087444,1.0984387459702225,3-4
AN08B095,2,0.39446773858782286,0.24444548787587622,0.7889354771756457,1-2
AN08B096,3,0.3209070134559205,0.23872284175497002,0.9545863969186754,3-4
AN08B097,5,0.3231247157317258,0.5646338448204978,1.8455785249011187,5-8
AN08B098,10,0.3389235422456801,1.6454482926482041,4.055285962233992,>8
AN08B099_a,4,0.3727607885646723,0.4085300034334838,1.4321088995834073,3-4
AN08B099_b,2,0.3879068895389727,0.23817451198311682,0.7758137790779454,1-2
AN08B099_c,2,0.3635445572664643,0.20948247383334778,0.7270891145329286,1-2
AN08B099_d,2,0.3229473206133324,0.164735974471836,0.6458946412266648,1-2
AN08B099_e,2,0.4493671060027699,0.3193963784943835,0.8987342120055398,1-2
AN08B099_f,2,0.7662643830174075,0.9287367970736393,1.532528766034815,1-2
AN08B099_g,3,0.39914557006529067,0.4144097751768745,1.2427436337427364,3-4
AN08B099_h,2,0.5768584926672621,0.5390273608941824,1.1537169853345242,1-2
AN08B099_i,1,0.6894611560948083,0.37334426795742126,0.6894611560948083,1-2
AN08B099_j,1,0.4081586060739562,0.13084218786723817,0.4081586060739562,1-2
AN08B100,10,0.2761900408100356,0.615012368126701,2.7735749109533536,>8
AN08B101,6,0.4278395814183497,0.9518393916313901,2.6593532884766153,5-8
AN08B102,2,0.3469814863348677,0.1892933990260963,0.6939629726697354,1-2
AN08B103,2,0.39342448289307563,0.247886073930419,0.7868489657861513,1-2
AN08B106,4,0.3086671172951012,0.3286946950676367,1.2849959926892944,3-4
AN08B107,2,0.3138392825083669,0.1554531158724207,0.6276785650167338,1-2
AN08B109,2,0.5308433743629875,0.4435428086997365,1.061686748725975,1-2
AN08B110,2,0.36497495335432845,0.21107028887170218,0.7299499067086569,1-2
AN08B111,2,0.32666841848947414,0.16770487121425393,0.6533368369789483,1-2
AN08B112,4,0.37043338022172034,0.4972487011574441,1.5643884149172722,3-4
AN08B113,11,0.21345838467757455,0.439863592457815,2.4469497044459,>8
AN09A005,10,0.48761012479757393,4.894703316149219,6.5536792698556425,>8
AN09A007,2,0.5529933239262919,0.48157226594961944,1.1059866478525837,1-2
AN09B002,2,0.43400860306093014,0.3104617812259518,0.8680172061218603,1-2
AN09B003,2,0.7587410991980953,0.9081328639352431,1.5174821983961906,1-2
AN09B004,10,0.8137806950965802,5.468710599418843,8.273417271976465,>8
AN09B006,2,0.4690760077294288,0.34606099253754763,0.9381520154588576,1-2
AN09B007,2,0.6460001809638629,0.655810051484514,1.2920003619277258,1-2
AN09B009,6,0.705569048913853,2.266630455290835,4.1045932687461075,5-8
AN09B011,2,0.6828010916773526,0.7351466532593394,1.3656021833547052,1-2
AN09B012,4,0.8545733411920421,2.285464507323053,3.4108756078028506,3-4
AN09B013,2,0.5253717637345345,0.4345932146758583,1.050743527469069,1-2
AN09B014,2,0.6404102576043134,0.6460495446821719,1.2808205152086267,1-2
AN09B015,2,0.11428067521090743,0.02077754808647361,0.22856135042181486,1-2
AN09B016,2,0.21763676108846375,0.07696654915418552,0.4352735221769275,1-2
AN09B017a,2,0.8277940432566289,1.146392394392237,1.6555880865132577,1-2
AN09B017b,2,0.8390313846575524,1.1328539762572902,1.678062769315105,1-2
AN09B017c,2,0.7869761919730219,0.9787397684540664,1.5739523839460439,1-2
AN09B017d,2,0.851826464579258,1.1401671791563652,1.703652929158516,1-2
AN09B017e,2,1.0085811381729548,1.5981666566321642,2.0171622763459096,1-2
AN09B017f,2,0.7385391713564786,0.8578009069542826,1.4770783427129572,1-2
AN09B017g,2,0.8329318659711002,1.0910034475220431,1.6658637319422005,1-2
AN09B018,8,0.5954750792724248,2.5028698301486716,4.912745869767767,5-8
AN09B019,2,0.5830845330786248,0.5359595777387889,1.1661690661572497,1-2
AN09B020,4,0.5673149345014703,0.9900369926472877,2.2423134389679067,3-4
AN09B021,2,0.5121538621283666,0.41748146336785796,1.024307724256733,1-2
AN09B023,8,0.5951983185423548,2.791647265773247,5.104126101901263,5-8
AN09B026,2,0.17834166952942765,0.05094196753187373,0.3566833390588553,1-2
AN09B027,2,0.8619415724607353,1.1673936011299324,1.7238831449214707,1-2
AN09B028,2,0.5189377596333322,0.42375355413207816,1.0378755192666644,1-2
