type,n,d_med,area,sumd,pop
DNge017,2,0.5290307841491245,0.4417264260173315,1.058061568298249,1-2
DNge018,2,0.846998068902513,1.1328467487920322,1.693996137805026,1-2
DNge019,11,0.36660297577980305,1.471676896837965,4.454838131290456,>8
DNge020,6,0.31355609599214196,0.4608968390089065,1.8670455672291713,5-8
DNge021,2,0.41981635483350144,0.27806898610344694,0.8396327096670029,1-2
DNge022,2,0.7615509739888597,0.9208516758276348,1.5231019479777195,1-2
DNge023,2,1.1496995596510264,2.0795739056879166,2.299399119302053,1-2
DNge024,4,0.3387281560798057,0.3640820074453759,1.3556538704238572,3-4
DNge025,3,0.38721659157119387,0.3312909581053346,1.1232704888232135,3-4
DNge026,2,1.0168698249442605,1.6283302361320469,2.033739649888521,1-2
DNge027,2,0.7133047059819559,0.8485526829821998,1.4266094119639119,1-2
DNge028,2,0.7405082247209811,0.8845307426329169,1.4810164494419622,1-2
DNge029,2,0.48581065452797645,0.3710010331997662,0.9716213090559529,1-2
DNge030,2,0.48147418561424227,0.37151931004733024,0.9629483712284845,1-2
DNge032,2,1.0585707337567434,1.7614953307847663,2.1171414675134868,1-2
DNge033,2,0.7719083103074854,0.9368242644009109,1.5438166206149708,1-2
DNge034,2,0.4473164921825531,0.3266354424008583,0.8946329843651062,1-2
DNge035,2,1.8127302377650367,5.161658616378187,3.6254604755300734,1-2
DNge036,2,0.9687916151243305,1.4866567637886798,1.937583230248661,1-2
DNge037,2,2.059315639473641,6.663167569648323,4.118631278947282,1-2
DNge038,2,0.817639327460076,1.0522236658292115,1.635278654920152,1-2
DNge039,2,0.7627900761924844,0.9139692271585019,1.5255801523849688,1-2
DNge040,2,1.0258821898687733,1.6542184056202154,2.0517643797375467,1-2
DNge041,2,0.5818514463452644,0.532882315146737,1.1637028926905288,1-2
DNge042,2,0.6941651593550103,0.7981071832108528,1.3883303187100207,1-2
DNge043,2,1.4875255859668415,3.4758436276258107,2.975051171933683,1-2
DNge044,2,0.5793446790003325,0.527232,1.158689358000665,1-2
DNge045,2,0.706811550654801,0.7877789647550821,1.413623101309602,1-2
DNge046,4,0.40105868721906157,0.5753922161399443,1.7014861364941696,3-4
DNge047,2,1.1986125394952576,2.2616745210989073,2.397225078990515,1-2
DNge048,2,1.0614319571326616,1.7709154057146024,2.122863914265323,1-2
DNge049,2,1.4668036699002895,3.38092504618115,2.933607339800579,1-2
DNge050,2,1.9666264168342806,6.0753179197832825,3.9332528336685613,1-2
DNge051,2,0.5889129319268602,0.5554152005852521,1.1778258638537205,1-2
DNge052,2,0.5603367255291445,0.5248978355349332,1.120673451058289,1-2
DNge053,2,0.8281963547915934,1.077430585900927,1.6563927095831867,1-2
DNge054,2,1.2829861789704875,2.6241836675995325,2.565972357940975,1-2
DNge055,2,0.7635151288940027,0.9166153428429265,1.5270302577880055,1-2
DNge056,2,0.8327933395939565,1.0903254209898252,1.665586679187913,1-2
DNge057,2,0.35943545526281606,0.2030621839465369,0.7188709105256321,1-2
DNge058,2,0.6652585213461364,0.6952424357155493,1.3305170426922728,1-2
DNge059,2,1.0222937458634846,1.6628361048977407,2.0445874917269693,1-2
DNge060,2,1.0090982958573789,1.6217173583624338,2.0181965917147577,1-2
DNge061,4,0.4628524076522767,0.7130777731911905,1.90159076551421,3-4
DNge062,2,0.4837748432191039,0.36767698616398775,0.9675496864382078,1-2
DNge063,2,1.1710538075289931,2.1705750872970024,2.3421076150579863,1-2
DNge064,2,0.856420012118231,1.2060934750046148,1.712840024236462,1-2
DNge065,2,0.893389993162867,1.2769318505334335,1.786779986325734,1-2
DNge067,2,1.23853904724363,2.419901157057459,2.47707809448726,1-2
DNge068,2,0.9159620268378148,1.3250007698990047,1.8319240536756296,1-2
DNge069,2,0.7787480162731826,0.9613023564651003,1.5574960325463652,1-2
DNge070,2,0.7419126448166553,0.8670465674515948,1.4838252896333106,1-2
DNge071,10,0.260245530645955,0.5493419775942013,2.606901388277332,>8
DNge072,2,0.35753060254914143,0.20183571968881203,0.7150612050982829,1-2
DNge073,2,0.5568128058988578,0.6799412371877749,1.1136256117977157,1-2
DNge074,2,0.611898660893172,0.5905047571354427,1.223797321786344,1-2
DNge075,2,0.7871932439950978,0.9737811984748312,1.5743864879901956,1-2
DNge076,2,0.805710474230785,1.0320245274598268,1.61142094846157,1-2
DNge077,2,0.4072153774246209,0.260846034532971,0.8144307548492418,1-2
DNge078,2,0.5988248515664756,0.5653661384625462,1.1976497031329512,1-2
DNge079,2,1.834179652773446,5.2973809480126715,3.668359305546892,1-2
DNge080,2,0.6973697638769573,0.768620577849855,1.3947395277539145,1-2
DNge081,2,0.7167137113663016,0.8089614603394095,1.4334274227326032,1-2
DNge082,2,0.6021775818449202,0.5747027694988287,1.2043551636898404,1-2
DNge083,2,0.8165380702016163,1.049013225857689,1.6330761404032326,1-2
DNge084,2,0.6935233830770478,0.7629717180979882,1.3870467661540955,1-2
DNge085,8,0.37565377535950284,0.9336533020105182,3.032557440082282,5-8
DNge086,2,0.5294915055106673,0.44656938483215947,1.0589830110213345,1-2
DNge087,4,0.31785742649263826,0.32647097059615904,1.2865039237665297,3-4
DNge088,2,0.815849702598686,1.046189101388813,1.631699405197372,1-2
DNge089,6,0.25155377474954,0.2911819105333712,1.4855798936291353,5-8
DNge090,2,0.5039803192100978,0.4160093457008049,1.0079606384201956,1-2
DNge091,14,0.5551805334815298,3.7518119739258182,8.029052573113889,>8
DNge092,4,0.3701939152583287,0.48285471653819506,1.5563565917670716,3-4
DNge093,4,0.43499886431375306,0.9178177239070613,2.0458813022821425,3-4
DNge094,13,0.249628638374379,0.6907536112911138,3.3398444951197686,>8
DNge095,3,0.47152420512658894,0.5180682872489918,1.4026234478947193,3-4
DNge096,2,0.47665129537529977,0.35776,0.9533025907505995,1-2
DNge097,2,0.46939699381953814,0.3485735718738715,0.9387939876390763,1-2
DNge098,2,0.40874656721574854,0.26807387036063113,0.8174931344314971,1-2
